date,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20
1980-02-16,2853.33,2853.33,2853.33,2853.33,2853.33,2853.33,2853.33,2853.33,2830.66,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44,2829.44
1980-02-17,2992.55,2992.55,2992.55,2992.55,2992.55,2992.55,2992.55,2992.55,2955.71,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77,2947.77
1980-02-18,2992.09,2992.09,2992.09,2992.09,2992.09,2992.09,2992.09,2992.09,2955.27,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34,2947.34
1980-02-19,2991.75,2991.75,2991.75,2991.75,2991.75,2991.75,2991.75,2991.75,2954.95,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02,2947.02
1980-02-20,2991.18,2991.18,2991.18,2991.18,2991.18,2991.18,2991.18,2991.18,2954.42,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49,2946.49
1980-02-21,2990.73,2990.73,2990.73,2990.73,2990.73,2990.73,2990.73,2990.73,2954.00,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08,2946.08
1980-02-22,3171.96,3171.96,3171.96,3171.96,3171.96,3171.96,3171.96,3171.96,3119.82,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11,3100.11
1980-02-23,3269.12,3269.12,3269.12,3269.12,3269.12,3269.12,3269.12,3269.12,3215.43,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68,3182.68
1980-02-24,3268.75,3268.75,3268.75,3268.75,3268.75,3268.75,3268.75,3268.75,3215.09,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36,3182.36
1980-02-25,3267.85,3267.85,3267.85,3267.85,3267.85,3267.85,3267.85,3267.85,3214.27,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57,3181.57
1980-02-26,3266.33,3266.33,3266.33,3266.33,3266.33,3266.33,3266.33,3266.33,3212.87,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25,3180.25
1980-02-27,3265.34,3265.34,3265.34,3265.34,3265.34,3265.34,3265.34,3265.34,3211.96,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38,3179.38
1980-02-28,3264.38,3264.38,3264.38,3264.38,3264.38,3264.38,3264.38,3264.38,3211.07,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54,3178.54
1980-02-29,3263.73,3263.73,3263.73,3263.73,3263.73,3263.73,3263.73,3263.73,3210.47,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97,3177.97
1980-03-01,3262.94,3262.94,3262.94,3262.94,3262.94,3262.94,3262.94,3262.94,3209.75,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28,3177.28
1980-03-02,3262.47,3262.47,3262.47,3262.47,3262.47,3262.47,3262.47,3262.47,3209.31,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87,3176.87
1980-03-03,3261.63,3261.63,3261.63,3261.63,3261.63,3261.63,3261.63,3261.63,3208.54,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13,3176.13
1980-03-04,3260.75,3260.75,3260.75,3260.75,3260.75,3260.75,3260.75,3260.75,3207.73,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36,3175.36
1980-03-05,3278.49,3278.49,3278.49,3278.49,3278.49,3278.49,3278.49,3278.49,3222.78,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43,3190.43
1980-03-06,3303.98,3303.98,3303.98,3303.98,3303.98,3303.98,3303.98,3303.98,3244.40,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08,3212.08
1980-03-07,3302.43,3302.43,3302.43,3302.43,3302.43,3302.43,3302.43,3302.43,3242.98,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74,3210.74
1980-03-08,3382.80,3382.80,3382.80,3382.80,3382.80,3382.80,3382.80,3382.80,3311.25,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04,3279.04
1980-03-09,3462.29,3462.29,3462.29,3462.29,3462.29,3462.29,3462.29,3462.29,3378.76,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62,3346.62
1980-03-10,3679.81,3679.81,3679.81,3679.81,3679.81,3679.81,3679.81,3679.81,3581.04,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52,3531.52
1980-03-11,3889.37,3889.37,3889.37,3889.37,3889.37,3889.37,3889.37,3889.37,3789.47,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64,3709.64
1980-03-12,3908.22,3908.22,3908.22,3908.22,3908.22,3908.22,3908.22,3908.22,3808.52,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76,3725.76
1980-03-13,3906.12,3906.12,3906.12,3906.12,3906.12,3906.12,3906.12,3906.12,3806.68,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11,3724.11
1980-03-14,3903.03,3903.03,3903.03,3903.03,3903.03,3903.03,3903.03,3903.03,3803.96,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67,3721.67
1980-03-15,3901.06,3901.06,3901.06,3901.06,3901.06,3901.06,3901.06,3901.06,3802.22,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12,3720.12
1980-03-16,3898.89,3898.89,3898.89,3898.89,3898.89,3898.89,3898.89,3898.89,3800.32,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41,3718.41
1980-03-17,3972.66,3972.66,3972.66,3972.66,3972.66,3972.66,3972.66,3972.66,3874.23,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19,3781.19
1980-03-18,4164.51,4164.51,4164.51,4164.51,4164.51,4164.51,4164.51,4164.51,4066.08,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26,3944.26
1980-03-19,4241.60,4241.60,4241.60,4241.60,4241.60,4241.60,4241.60,4241.60,4143.20,4009.81,4009.81,4009.81,4009.81,4009.81,4009.81,4009.81,4009.81,4009.81,4009.81,4009.81
1980-03-20,4247.04,4247.04,4247.04,4247.04,4247.04,4247.04,4247.04,4247.04,4148.66,4014.45,4014.45,4014.45,4014.45,4014.45,4014.45,4014.45,4014.45,4014.45,4014.45,4014.45
1980-03-21,4919.38,4919.38,4919.38,4919.38,4919.38,4919.38,4919.38,4919.38,4833.76,4695.20,4647.33,4613.39,4613.39,4613.39,4613.39,4613.39,4613.39,4613.39,4613.39,4613.39
1980-03-22,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5392.03,5279.46,5279.46,5279.46,5279.46,5279.46,5279.46,5279.46,5279.46,5279.46
1980-03-23,5395.34,5395.34,5395.34,5395.34,5395.34,5395.34,5395.34,5395.34,5395.34,5395.34,5395.34,5318.56,5318.56,5318.56,5318.56,5318.56,5318.56,5318.56,5318.56,5318.56
1980-03-24,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5392.28,5392.28,5392.28,5392.28,5392.28,5392.28,5392.28,5392.28,5392.28
1980-03-25,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00
1980-03-26,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28,5389.28
1980-03-27,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47,5370.47
1980-03-28,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49,5345.49
1980-03-29,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84,5391.84
1980-03-30,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55,5385.55
1980-03-31,5398.06,5398.06,5398.06,5398.06,5398.06,5398.06,5398.06,5398.06,5398.06,5398.06,5397.99,5397.99,5397.99,5397.99,5397.99,5397.99,5397.99,5397.99,5397.99,5397.99
1980-04-01,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39,5389.39
1980-04-02,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27,5365.27
1980-04-03,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80,5352.80
1980-04-04,5396.70,5396.70,5396.70,5396.70,5396.70,5396.70,5396.70,5396.70,5396.70,5396.70,5396.29,5396.29,5396.29,5396.29,5396.29,5396.29,5396.29,5396.29,5396.29,5396.29
1980-04-05,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33,5379.33
1980-04-06,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98,5342.98
1980-04-07,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97,5315.97
1980-04-08,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86,5283.86
1980-04-09,5385.29,5385.29,5385.29,5385.29,5385.29,5385.29,5385.29,5385.29,5385.29,5385.29,5381.57,5381.57,5381.57,5381.57,5381.57,5381.57,5381.57,5381.57,5381.57,5381.57
1980-04-10,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51,5383.51
1980-04-11,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93,5342.93
1980-04-12,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59,5298.59
1980-04-13,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36,5262.36
1980-04-14,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85,5372.85
1980-04-15,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00
1980-04-16,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42,5382.42
1980-04-17,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66,5353.66
1980-04-18,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71,5329.71
1980-04-19,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14,5282.14
1980-04-20,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00,5265.00
1980-04-21,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81,5212.81
1980-04-22,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29,5169.29
1980-04-23,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01,5138.01
1980-04-24,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51,5103.51
1980-04-25,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10,5055.10
1980-04-26,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96,5010.96
1980-04-27,5102.50,5102.50,5102.50,5102.50,5102.50,5102.50,5102.50,5102.50,5102.50,5086.83,5086.83,5086.83,5086.83,5086.83,5086.83,5086.83,5086.83,5086.83,5086.83,5086.83
1980-04-28,5396.48,5396.48,5396.48,5396.48,5396.48,5396.48,5396.48,5396.48,5396.48,5395.00,5393.71,5393.71,5393.71,5393.71,5393.71,5393.71,5393.71,5393.71,5393.71,5393.71
1980-04-29,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00,5400.00
